zone_id,latitude,longitude,fetched_at,data_source,rainfall_30min,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3day,rainfall_7day
Z_29.5_91.5,29.5,91.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,1.1,2.1,8.5,27.8
Z_29.5_92.0,29.5,92.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.4,0.6,0.9,1.9,4.5,8.7,35.7
Z_29.5_92.5,29.5,92.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.2,0.6,0.7,9.5,24.2
Z_29.5_94.0,29.5,94.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,1.6,1.6,10.3,40.1
Z_29.5_93.0,29.5,93.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,1.5,1.5,8.6,24.0
Z_29.5_93.5,29.5,93.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.9,0.9,9.9,25.1
Z_29.5_94.5,29.5,94.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.7,0.7,5.2,18.6
Z_29.5_95.0,29.5,95.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.9,1.1,6.7,25.7
Z_29.5_96.5,29.5,96.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.6,0.6,2.0,5.0
Z_29.5_95.5,29.5,95.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),2.5,3.3,3.3,3.3,3.3,9.2,16.7,25.9
Z_29.5_96.0,29.5,96.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.1,0.4,3.6,3.9,9.9,41.0
Z_29.5_97.0,29.5,97.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.1,0.1,0.1,0.1,0.1,2.7,5.1
Z_29.5_97.5,29.5,97.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.4,0.4,6.3,11.6
