zone_id,latitude,longitude,soil_moisture_0_7cm,soil_moisture_7_28cm,fetched_at,data_source
Z_29.5_89.5,29.5,89.5,0.416,0.401,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_90.0,29.5,90.0,0.406,0.386,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_90.5,29.5,90.5,0.414,0.415,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_91.0,29.5,91.0,0.377,0.304,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_91.5,29.5,91.5,0.317,0.309,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_92.0,29.5,92.0,0.397,0.392,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_92.5,29.5,92.5,0.269,0.277,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_94.0,29.5,94.0,0.393,0.397,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_93.0,29.5,93.0,0.386,0.391,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_93.5,29.5,93.5,0.379,0.387,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_94.5,29.5,94.5,0.336,0.354,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_95.0,29.5,95.0,0.378,0.386,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_96.5,29.5,96.5,0.158,0.204,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_95.5,29.5,95.5,0.396,0.38,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_96.0,29.5,96.0,0.391,0.388,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_97.0,29.5,97.0,0.364,0.375,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_97.5,29.5,97.5,0.369,0.382,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
